REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,RATIO
Illinois,2016,18,664,47662,0.9118343055939816
Illinois,2016,19,699,46841,0.9043845943633858
Illinois,2016,20,636,45071,0.9754474579262191
Illinois,2016,21,540,40945,0.8740814332515005
Illinois,2016,22,513,37182,0.8163463146143699
Illinois,2016,23,395,39419,0.8428986870803575
Illinois,2016,24,310,36004,0.7889093023647795
Illinois,2016,25,346,35000,0.7482814195967503
Illinois,2016,26,355,30575,0.6854329018139678
Illinois,2016,27,289,33162,0.7768011589690365
Illinois,2016,28,317,38049,0.8170227315522931
Illinois,2016,29,307,37289,0.8075043935267319
Illinois,2016,30,295,37455,0.8431806968537837
Illinois,2016,31,267,36812,0.8510379239594271
Illinois,2016,32,263,38387,0.8742581567175368
Illinois,2016,33,275,39081,0.8663201179300178
Illinois,2016,34,327,38635,0.8376636047612508
Illinois,2016,35,315,39968,0.850108652881517
Illinois,2016,36,396,38388,0.8450186464835832
Illinois,2016,37,516,39913,0.8283569699066067
Illinois,2016,38,497,42245,0.8821855732535618
Illinois,2016,39,623,40089,0.8420466718477598
Illinois,2016,40,640,49406,0.8518140294849419
Illinois,2016,41,571,46943,0.8179878265368629
Illinois,2016,42,743,49952,0.8562018253304818
Illinois,2016,43,742,48249,0.8231424285731159
Illinois,2016,44,804,48388,0.8283783356686086
Illinois,2016,45,827,46592,0.7855581883666066
Illinois,2016,46,899,48074,0.8287378681974717
Illinois,2016,47,744,38743,0.7473860874262125
Illinois,2016,48,860,48951,0.866762283024419
Illinois,2016,49,894,47265,0.8064916245993432
Illinois,2016,50,943,44978,0.8178412975489127
Illinois,2016,51,978,42500,0.7997579736955622
Illinois,2016,52,1234,40207,0.813148433647221
Illinois,2017,1,1267,44772,0.8466458460916328
Illinois,2017,2,1350,46715,0.8597601202796331
Illinois,2017,3,1443,47859,0.8713384199116011
Illinois,2017,4,1640,50900,0.9190839440188012
Illinois,2017,5,1810,50544,0.9431136564256034
Illinois,2017,6,2297,52630,0.9324781630375082
Illinois,2017,7,2435,51061,0.9134799577246155
Illinois,2017,8,2284,50022,0.8834099297794212
Illinois,2017,9,1743,49468,0.8677893827760236
Illinois,2017,10,1759,48592,0.8479618985231382
Illinois,2017,11,1450,45468,0.8201389736815815
Illinois,2017,12,1440,46421,0.8573594137587125
Illinois,2017,13,1348,49288,0.9405678837281333
Illinois,2017,14,1169,49712,0.929470224868581
Illinois,2017,15,764,47560,0.8955881117442732
Illinois,2017,16,676,48183,0.9299113704182069
Illinois,2017,17,681,48483,0.9185464243554804
Illinois,2017,18,617,47323,0.9053488070921067
Illinois,2017,19,715,46952,0.9065277315716934
Illinois,2017,20,576,45776,0.9907053944671875
Illinois,2017,21,485,39745,0.8484641974497713
Illinois,2017,22,417,36392,0.7990015351903113
Illinois,2017,23,404,38935,0.832549287944233
Illinois,2017,24,339,37657,0.8251293633804716
Illinois,2017,25,328,37560,0.8030128605729697
Illinois,2017,26,293,34829,0.7807994288562121
Illinois,2017,27,226,33676,0.7888413192642565
Illinois,2017,28,276,35146,0.7546868754273934
Illinois,2017,29,238,33615,0.7279428300142425
Illinois,2017,30,242,35291,0.7944650907133062
Illinois,2017,31,256,35382,0.8179784805371196
Illinois,2017,32,249,34747,0.7913577036878175
Illinois,2017,33,273,36935,0.8187490994535761
Illinois,2017,34,263,36584,0.7931949091907752
Illinois,2017,35,299,38072,0.8097812408052721
Illinois,2017,36,354,35752,0.7869935044566287
Illinois,2017,37,476,39552,0.8208647526807332
Illinois,2017,38,469,39632,0.8276193310258056
